id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
96127629,https://www.idealista.com/inmueble/96127629/,sale,inactive,0-EU-ES-14-03-001-021-11-001,37.857373,-4.873066,True,Córdoba,Córdoba,El Higuerón,El Higuerón,130047827,197600,chalet,independantHouse,150,149,,4,2,False,False,,False,False,False,inProcess,,good,False,False,False,,,,,,,2003,,,,,,,
96128251,https://www.idealista.com/inmueble/96128251/,sale,inactive,0-EU-ES-14-03-001-021-04-003,37.8952359,-4.7568566,True,Córdoba,Córdoba,Levante - Lepanto - Fátima,El Cairo,260404250,139000,flat,,80,,,3,1,False,False,external,False,False,False,f,,good,False,False,,,,,,,,1980,,,True,,,Planta 1ª,True
96130808,https://www.idealista.com/inmueble/96130808/,sale,inactive,0-EU-ES-14-03-001-021-03-002,37.8922562,-4.7867297,True,Córdoba,Córdoba,Santa Rosa - Valdeolleros,Huerta de la Reina,260390367,280000,chalet,independantHouse,260,1,,3,2,False,False,,False,False,False,unknown,,good,False,False,False,,,,,,,1939,,,,,,,
96130809,https://www.idealista.com/inmueble/96130809/,sale,inactive,0-EU-ES-14-03-001-021-01-002,37.8857998,-4.7850094,True,Córdoba,Córdoba,Centro - Casco Histórico,Centro,260390367,219900,flat,,108,100,,3,2,False,False,external,False,False,False,unknown,,good,True,False,False,False,,False,78,no,,,,,True,,,Planta 1ª,True
96130844,https://www.idealista.com/inmueble/96130844/,sale,inactive,0-EU-ES-14-03-001-021-01-001,37.8805112,-4.7790928,True,Córdoba,Córdoba,Centro - Casco Histórico,Judería - San Basilio,260390367,183600,flat,,114,104,,3,2,False,False,internal,False,False,False,unknown,,renew,False,False,False,False,,False,,individual,,,,,,True,,Planta 2ª,True
96132166,https://www.idealista.com/inmueble/96132166/,sale,inactive,0-EU-ES-14-03-001-021-03-002,37.8909018,-4.788575,True,Córdoba,Córdoba,Santa Rosa - Valdeolleros,Huerta de la Reina,260401660,82500,flat,,75,65,,3,1,True,False,external,False,False,False,a,1,good,False,False,,,,,60,individual,,,,,True,,,Planta 3ª,True
96132192,https://www.idealista.com/inmueble/96132192/,sale,inactive,0-EU-ES-14-03-001-021-07-001,37.8802482,-4.7911593,True,Córdoba,Córdoba,Ciudad Jardín,Ciudad Jardín,260364551,139000,flat,,120,,,3,2,False,False,external,False,False,False,inProcess,,good,False,False,,,,,50,individual,,,,,True,,,Planta 1ª,True
96132788,https://www.idealista.com/inmueble/96132788/,sale,inactive,0-EU-ES-14-03-001-021-07-001,37.8829228,-4.791672,True,Córdoba,Córdoba,Ciudad Jardín,Ciudad Jardín,130003250,125000,flat,,99,83,,4,1,False,False,external,False,False,False,unknown,,renew,True,False,False,False,,False,70,no,,,,,True,,,Planta 4ª,
96133488,https://www.idealista.com/inmueble/96133488/,sale,inactive,0-EU-ES-14-03-001-021-07-001,37.8826365,-4.7913371,True,Córdoba,Córdoba,Ciudad Jardín,Ciudad Jardín,260368023,159900,flat,,126,110,,4,2,False,False,external,False,False,False,inProcess,,good,True,False,True,False,,False,70,central,,,,,True,,,,True
96135069,https://www.idealista.com/inmueble/96135069/,sale,inactive,0-EU-ES-14-03-001-021-08-002,37.9160438,-4.8084836,True,Córdoba,Córdoba,Brillante - Trassierra - Naranjo,Brillante,130003250,695000,chalet,independantHouse,232,195,2047,4,3,False,False,,False,False,False,unknown,,good,False,False,True,True,,True,,individual,,,,,True,True,,,True
96136370,https://www.idealista.com/inmueble/96136370/,sale,inactive,0-EU-ES-14-03-001-021-08-002,37.9162555,-4.7934774,True,Córdoba,Córdoba,Brillante - Trassierra - Naranjo,Brillante,130162154,890000,chalet,independantHouse,550,,2100,4,6,False,False,,False,False,False,inProcess,,good,False,False,True,True,,True,,central,Gasoil,,,,True,True,,,True
96141826,https://www.idealista.com/inmueble/96141826/,sale,inactive,0-EU-ES-14-03-001-021-01-006,37.8895635,-4.7808631,True,Córdoba,Córdoba,Centro - Casco Histórico,El Vial - Ronda de Tejares,130003210,265000,flat,,147,130,,3,2,False,False,external,False,False,False,unknown,,good,True,False,False,False,,False,201,central,,,,,True,,,Planta 1ª,True
96143180,https://www.idealista.com/inmueble/96143180/,sale,inactive,0-EU-ES-14-03-001-021-05-001,37.8799238,-4.7609339,False,Córdoba,Córdoba,Fuensanta - Zona Arcángel,Fuensanta - Arcángel - Santuario,,359000,flat,,160,,,2,3,False,False,external,False,False,False,inProcess,,good,True,False,False,False,,False,,,,,,,,,,Planta 1ª,
96145334,https://www.idealista.com/inmueble/96145334/,rent,active,0-EU-ES-14-03-001-021-07-001,37.8827243,-4.7880324,False,Córdoba,Córdoba,Ciudad Jardín,Ciudad Jardín,,490,flat,,45,40,,1,1,False,False,external,False,False,False,b,,good,False,False,False,False,,False,,individual,Bomba de frío/calor,,,,,,,Planta 1ª,True
96146183,https://www.idealista.com/inmueble/96146183/,sale,inactive,0-EU-ES-14-03-001-021-01-001,37.8827657,-4.7783449,True,Córdoba,Córdoba,Centro - Casco Histórico,Judería - San Basilio,260404640,650000,chalet,independantHouse,510,460,202,6,4,False,False,,False,False,False,unknown,,good,False,False,True,False,,False,,individual,,,,,True,,,,True
96146254,https://www.idealista.com/inmueble/96146254/,sale,inactive,0-EU-ES-14-03-001-021-11-001,37.8459999,-4.8798899,False,Córdoba,Córdoba,El Higuerón,El Higuerón,,170000,chalet,independantHouse,120,,1000,3,3,False,False,,False,False,False,unknown,,good,False,False,True,True,,True,,,,,,,,True,,,True
96149045,https://www.idealista.com/inmueble/96149045/,sale,inactive,0-EU-ES-14-03-001-021-04-002,37.8915575,-4.7622047,False,Córdoba,Córdoba,Levante - Lepanto - Fátima,La Viñuela,,170000,flat,,93,75,,3,2,False,False,external,False,False,False,unknown,,good,True,False,True,False,,False,45,individual,Bomba de frío/calor,,,,,,,Planta 2ª,True
