id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
111451991,https://www.idealista.com/inmueble/111451991/,sale,Córdoba,Córdoba,37.8950388,-4.7943889,True,,,Noreña - Figueroa,Tablero,,,,duplex,183.0,,,4,3,,True,,False,,,,,good,True,,,,,,,,,,,,,True,,3,
110458840,https://www.idealista.com/inmueble/110458840/,sale,Córdoba,Córdoba,37.8862216,-4.7683715,True,,,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,,,,independantHouse,347.0,,,5,3,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
107184647,https://www.idealista.com/inmueble/107184647/,sale,Córdoba,Córdoba,37.8641277,-4.7764943,True,,,Sector sur - Santa Cruz,Sector sur - Santa Cruz,,,,flat,57.0,,,3,1,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,,
111344436,https://www.idealista.com/inmueble/111344436/,sale,Córdoba,Córdoba,37.9146059,-4.8025433,True,,,Brillante - Trassierra - Naranjo,Brillante,,,,independantHouse,440.0,,,6,4,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
108828034,https://www.idealista.com/inmueble/108828034/,sale,Córdoba,Córdoba,37.8990027,-4.7780596,True,,,Santa Rosa - Valdeolleros,Valdeolleros - Zumbacón - Camping,,,,independantHouse,108.0,,,3,2,,False,,False,,,,,renew,,,,,,,,,,,,,,False,,,
111878943,https://www.idealista.com/inmueble/111878943/,sale,Córdoba,Córdoba,37.8969234,-4.7878992,True,,,Santa Rosa - Valdeolleros,Huerta de la Reina,,,,flat,65.0,,,2,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,2,
111914820,https://www.idealista.com/inmueble/111914820/,sale,Córdoba,Córdoba,37.8793076,-4.79239,True,,,Ciudad Jardín,Ciudad Jardín,,,,penthouse,129.0,,,4,2,,False,,False,,,,,good,True,,,,,,,,,,,,,False,,,
111977761,https://www.idealista.com/inmueble/111977761/,sale,Córdoba,Córdoba,37.8867489,-4.7511515,True,,,Fuensanta - Zona Arcángel,Cañero - Fidiana,,,,independantHouse,97.0,,,3,1,,False,,False,,,,,renew,,,,,,,,,,,,,,False,,,
112222499,https://www.idealista.com/inmueble/112222499/,sale,Córdoba,Córdoba,37.8828817,-4.7738997,True,,,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,,,,flat,90.0,,,2,2,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,1,
112170044,https://www.idealista.com/inmueble/112170044/,sale,Córdoba,Córdoba,37.8911646,-4.7703099,True,,,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,,,,flat,46.0,,,1,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,,
